birth_loc,num_sibs,hosp_visit,height
0,1,0,72.829021584175507
0,7,0,69.98090176931623
0,2,0,69.34478157041634
1,0,0,75.50709629794281
0,0,0,67.88377838794062
0,2,0,69.55474211197622
0,0,3,68.90207247020416
1,2,0,74.58151323896152
1,0,0,72.38259694121697
0,2,0,69.96627478997586
0,0,0,69.93640808684468
1,0,0,72.05140442785829
0,0,0,69.88401694611017
1,0,0,67.25690321732458
0,0,0,69.67397761147294
0,0,0,71.94333798750833
0,0,0,63.357740471672585
0,1,0,70.7721295890101
0,6,0,70.24993443503256
1,2,0,72.12054396336279
0,0,0,71.96782726452712
0,0,2,68.97419708163636
1,0,0,72.14458983741798
1,0,0,67.93951858204174
1,0,0,70.20708086705672
0,2,4,68.60535570614346
0,2,0,71.11227114643434
0,2,0,69.871910256281
0,0,0,69.84261726301217
1,0,0,68.0717172782555
0,0,5,67.57763168564034
0,1,0,73.02650876175666
0,0,0,71.99820451099187
1,4,0,69.48956937256601
0,0,0,67.80019520002413
0,2,0,67.5304327594004
0,2,0,65.17250228771687
0,2,0,64.70878485893945
1,0,0,69.3289379493408
0,0,0,67.44636975557225
0,1,0,69.39728119666258
0,0,0,67.06065788119575
0,1,0,66.867940715196
1,0,0,70.0078117792095
0,2,0,73.55605890650934
0,0,0,68.43087643474959
0,0,0,74.3261518793164
0,1,0,69.74923351972585
0,5,2,65.60548510942188
0,0,0,68.94943132868369
0,1,0,67.5680530774592
0,0,0,67.08946233026029
1,1,2,74.02186778246919
0,0,6,69.83100425013822
0,0,0,68.49337913399648
0,0,0,72.6480725946544
0,2,3,70.43135963683538
0,0,0,65.650064318155
0,2,0,65.15468014553461
0,0,7,69.27396729861984
0,2,0,70.36296567225196
0,2,0,68.73485358988806
1,1,0,68.3785123223381
1,0,0,72.03374296559927
0,1,20,68.81100591566049
1,0,0,70.65651491278422
1,2,4,69.74206315732351
1,0,0,66.8696386832243
0,0,0,69.78411704491386
0,1,0,70.38857723440069
0,1,5,72.30150816552347
0,0,0,64.43343581704713
0,0,0,71.70796482966567
0,2,0,69.2820374185679
0,0,0,71.56514763204328
0,0,0,70.88583487596395
0,1,0,69.63427446285442
0,0,2,70.76578262496285
0,0,0,71.64036553688129
0,0,0,65.73519658659227
0,2,0,68.74769765283192
0,2,0,70.27585800560622
0,1,0,71.86653796613408
0,4,14,69.80825830809906
0,0,0,69.49986434984062
0,0,0,69.88158592170807
0,0,33,69.2837584172919
0,0,21,71.48156634782679
0,0,0,75.79800259979802
1,0,0,80.64727294495913
1,1,0,66.89109278277378
1,0,0,68.64410234753423
0,0,0,66.8259574031184
0,3,61,72.38024362315116
0,0,2,66.46164504800014
1,2,0,73.3317094020246
0,1,0,67.93846844198606
0,1,0,71.85038716201089
0,1,0,68.71798250878304
1,0,0,69.9842745143587
0,0,0,73.13785088295771
1,3,0,68.8735360115031
0,1,0,63.55701213990753
0,0,0,68.12438286183507
0,0,16,74.82352863787585
1,1,10,70.33235700308089
0,0,0,70.66192157784084
0,1,0,69.92346001701989
1,2,0,70.62267965114359
0,0,0,69.77724197975874
0,0,1,73.03298166705584
1,0,0,72.49211798652892
1,0,0,69.9802216387086
0,1,5,63.86228164575255
1,0,0,71.3590306484824
0,0,0,71.69303798257518
0,1,0,68.7742456200655
0,0,1,78.64918848584375
0,0,0,68.12534373554921
0,0,0,70.4875981382637
0,3,0,64.44616265121005
0,0,0,71.42085036464988
1,1,0,73.21589820438733
0,1,0,65.76168845259774
1,4,0,72.9089678601696
0,7,0,71.23369739484063
1,1,0,66.87704777147262
0,0,0,73.10021755180779
0,3,0,66.00924467662097
1,2,0,73.28666100799228
1,0,0,72.13360306880224
0,0,0,69.79368981874879
0,6,0,64.6110521938637
1,1,0,68.67710025605957
0,0,0,69.29071423124701
0,0,0,69.91134277520972
0,2,0,74.95304073006074
0,0,0,72.03545122400021
1,2,1,71.16053613395994
0,1,0,70.10260922133955
0,3,0,71.02598840072325
0,2,0,70.37131266235367
0,0,0,71.78229568970795
1,0,0,69.30813948205797
1,1,0,72.73483738004495
0,0,0,73.20360405424194
0,0,4,71.27000632435552
1,0,0,70.54239147568848
0,0,0,70.96450014336092
0,2,0,67.8191590761708
1,3,0,70.20712080434905
1,0,0,72.553988350722
0,4,0,70.85665784635944
0,0,6,72.05947880085002
0,0,0,72.44772758109306
0,5,0,72.72736980478012
0,0,0,71.89960196185726
0,0,0,70.43452981069058
0,0,0,71.84110311703463
0,1,0,69.13967503471562
1,3,0,69.51494545472319
1,0,0,70.40625473636963
0,1,1,70.13914057412724
0,1,0,71.86890551337531
0,0,0,67.8938313371965
0,4,0,76.22982971217061
0,0,0,70.18024886463208
0,2,0,65.05173490268923
0,3,0,67.30590348410148
0,0,0,69.45831651427055
0,0,0,68.099243556896
0,0,0,68.60748241001201
0,1,0,66.46292950784557
1,0,0,71.14254087336954
0,0,0,71.60470934526074
0,0,0,71.34767997114234
1,3,1,69.54008556262902
1,1,3,69.68371331757207
1,0,0,70.25880363360726
1,2,0,73.6057197307175
1,0,0,67.43995835705856
1,0,1,71.12953509834243
1,4,0,69.98574707856996
0,0,0,72.47188735407643
1,1,0,73.83061776822174
1,0,0,70.25037677048162
0,0,0,73.56323644765094
0,2,0,69.67421799277811
0,0,0,70.59591149364803
1,0,0,73.96994994398999
1,2,3,70.61302136941809
1,2,0,66.83114844314338
0,0,0,69.55649189103288
1,0,0,70.30705625377587
0,1,0,69.02116469434188
0,0,0,68.53125027809763
1,0,0,72.17476167706495
1,0,0,70.81636775339902
0,1,0,68.23018159253579
0,1,0,75.42820772267328
0,4,0,73.64552669372917
0,0,0,73.36763308452593
0,1,0,70.82488764200505
0,1,10,70.66563041517986
0,0,0,70.22346115702543
1,2,0,68.34511738201282
0,6,0,65.41425281545231
1,2,0,71.8070460672114
1,0,0,72.00924139269333
0,6,0,73.08997159307792
0,0,0,76.11961411662959
1,0,7,71.74829157322239
0,7,0,72.6373832197065
0,0,0,69.83883716125722
0,1,0,66.80338655076918
0,7,3,70.26276501624763
0,0,0,75.45406153021253
1,0,0,67.88396300002789
0,3,0,66.86623112361548
0,0,0,68.0949487436122
0,1,0,72.15167211228719
0,1,0,75.63457224614363
0,2,0,71.28275816626861
0,6,1,71.49783132801053
0,3,2,69.0260263197633
0,0,0,70.76842136563623
0,2,0,70.43354464364661
0,0,0,74.83200793984187
0,1,0,71.88451684306325
0,0,0,69.40219792340633
0,2,0,74.59964374896461
0,0,0,72.40824315647666
1,3,0,66.43019452825415
0,0,0,70.7501372222355
0,0,0,66.89951901162615
0,0,4,70.35161420294398
0,1,0,75.67684000289664
0,4,0,66.146083011377
0,0,0,69.97463715994866
0,4,6,73.46426683691577
0,2,0,66.47282786526826
1,0,0,74.83799088526688
1,0,0,72.25038329440187
0,0,2,67.41788621056291
0,0,0,62.724255967807224
0,0,0,69.62656322201967
1,2,0,70.89454653225322
1,0,0,73.48774344097758
0,0,2,68.24725900978989
0,2,1,66.82429350647658
0,2,10,73.03246500891366
0,0,0,72.857552020811
0,0,0,72.46782795679783
0,1,0,63.75142158053094
0,0,0,77.95350148345541
0,0,0,65.23729757413271
1,0,0,68.17249522288286
1,0,0,69.81054728871759
0,1,0,70.61957557978099
0,0,3,69.1196761800756
0,1,0,69.21062514491557
1,1,0,65.26955240208817
0,0,0,73.67861915251106
0,0,0,71.55192962808243
0,2,3,68.06705056074735
1,3,0,69.56354020258904
0,0,4,68.59892803226461
0,1,0,66.61258233510662
0,0,0,70.02611409281073
1,0,28,72.17935277543268
0,1,0,68.15345864647246
0,0,0,71.92844154829537
1,2,0,69.00834292803727
0,0,0,74.11536630534603
0,0,0,68.29106558014891
0,1,0,69.04063183755846
0,0,0,71.62316258633432
1,0,0,68.6417822516017
0,0,0,71.79503530305522
0,0,0,71.2567971558306
0,0,0,66.32458483719105
1,2,0,69.88808988183132
1,0,0,71.10494261795137
0,0,0,71.57262701263839
0,0,0,72.20578544582352
0,1,0,67.04805539255591
0,2,0,72.1042250869771
1,3,0,71.34113169390548
0,4,0,67.4427668270813
0,0,0,70.99274037063763
0,1,0,70.00670714186083
0,0,0,69.05094573431158
0,0,0,73.58457858985106
0,2,0,68.24646582577715
1,2,0,71.16026085803949
0,1,3,66.31500862819081
1,0,0,68.34274055915333
0,0,0,66.44263010541005
0,1,4,73.58522126167982
0,0,4,71.15234960958297
0,0,0,65.71480808100445
0,1,1,66.09331527540078
0,0,0,72.16415686694471
0,0,0,69.92963332107406
1,0,0,73.71908818541047
0,0,0,70.24507473277497
0,2,0,73.3469130280506
0,0,0,68.279821495335
1,0,0,69.02601991746194
0,1,0,69.94982346702169
0,4,0,69.9260314278027
0,0,0,73.82758413703651
0,2,0,69.938049499253
0,2,0,73.68692585963888
0,3,0,69.39755126056002
0,3,0,69.25272049766852
0,0,0,73.29983242493603
0,0,0,69.8918405926668
0,0,0,69.70151258192887
0,4,0,74.79619866792953
0,2,0,68.87751539181606
0,2,0,69.05626929655297
0,0,0,67.34182958254192
0,2,0,70.33510228089355
0,0,0,65.20657277863567
1,0,0,70.11803646610403
1,0,0,68.24174524786251
0,0,0,73.12967246539193
1,1,0,69.26510732865977
0,1,0,71.02202716375085
0,6,0,69.32158483248912
1,2,0,69.9209535837404
0,3,0,70.21238851929567
0,0,0,70.17693352495228
1,0,0,70.18090070659579
0,0,0,66.39798085871739
0,1,0,66.49758882727382
1,2,1,72.59959722555467
0,3,0,66.91677042428583
